"","exptID","shellID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","thick","polymorph","waxYN","cMass","pMass","cSize","finalSA","volume","densityMV","cTime1","cTime2","cDuration","rootMass","deviation","deviationStan","poros","massSA","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"1","T1.1","1.1.1.1","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",33.55,29.89,"cylinder1",6.43,6.57,0.84,0.84,"Calcite","No Wax",3.66,0.109090909090909,3.28613355096329,83.51154379,27.87054812,1.203779698,NA,NA,NA,3.22525587377514,2.95795548301224,0.900132461793936,0.555964700097267,0.0438262763912438,495.49,0.73866273789582,10803.002698345,0.77304010858753,0.955529641593211
"2","T1.1","1.1.1.2","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",32.58,28.4,"cylinder1",5.86,6.05,0.87,0.87,"Calcite","No Wax",4.18,0.128299570288521,3.13610610399974,71.96556247,24.22490735,1.344896785,NA,NA,NA,3.19386846718262,2.63463129866675,0.840096352386353,0.503911182402358,0.0580833367590575,495.49,0.84360935639468,10803.002698345,0.66616258904596,1.26637155893556
"3","T1.1","1.1.1.3","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",35.25,26.82,"cylinder1",6.78,6.64,0.62,0.62,"Calcite","No Wax",8.43,0.239148936170213,3.03340096724238,83.78564775,21.92195814,1.607976796,NA,NA,NA,3.27883609308486,3.25553301091921,1.07322871129654,0.406869496328863,0.100613890640954,495.49,1.70134614220267,10803.002698345,0.775577402779283,2.19365099615576
"4","T1.1","1.1.1.4","Marginopora","E17",10,"9/4/2023 14:32","9/6/2023 14:32",36.43,32.09,"cylinder1",6.64,6.78,0.81,0.81,"Calcite","No Wax",4.34,0.119132583035959,3.31609983775832,87.79086423,28.63997757,1.271998203,NA,NA,NA,3.31502181288999,3.09796672074723,0.934219978986353,0.530801105534769,0.0494356678005788,495.49,0.875900623625098,10803.002698345,0.812652432674569,1.07782932580706
"5","T1.1","1.1.1.5","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",38.15,35.04,"cylinder1",6.83,6.8,0.86,0.86,"Calcite","No Wax",3.11,0.0815203145478375,3.41829355266674,91.36662499,31.37024778,1.216120455,NA,NA,NA,3.36639325078644,3.11723548244442,0.911927379675319,0.551412595026629,0.0340386875441704,495.49,0.627661506791257,10803.002698345,0.845752125971395,0.742134116506478
"6","T1.1","1.1.2.1","Turbo","E05",3,"9/4/2023 14:32","9/6/2023 14:32",224.04,217.88,"hemisphere",7.91,7.06,3.32,3.32,"Aragonite","No Wax",6.16,0.027495090162471,5.70216468515051,122.3483834,91.9687751,2.436044187,NA,NA,NA,6.07353942092281,1.9826117716165,0.347694582862468,0.139207000936605,0.0503480293635003,495.49,1.24321378837111,10803.002698345,1.13254052430019,1.09772123972279
"7","T1.1","1.1.2.2","Turbo","E05",10,"9/4/2023 14:32","9/6/2023 14:32",220.82,215.57,"hemisphere",8.13,7.27,2.96,2.96,"Aragonite","No Wax",5.25,0.0237750203785889,5.59292362982675,120.3674522,82.28232132,2.683687048,NA,NA,NA,6.04430171752243,2.28235879005775,0.408079734521326,0.0517006897778082,0.0436164420201959,495.49,1.0595572059981,10803.002698345,1.11420366689754,0.950954693003662
"8","T1.1","1.1.2.3","Turbo","E02",7,"9/4/2023 14:32","9/6/2023 14:32",206.58,198.26,"hemisphere",7.92,7.09,3.09,3.09,"Aragonite","No Wax",8.32000000000002,0.0402749540129733,5.57754777206168,118.2008528,83.58612677,2.471462765,NA,NA,NA,5.9114781819064,2.11415074264611,0.379046640037048,0.126691602400045,0.0703886630503229,495.49,1.67914589598176,10803.002698345,1.09414813733323,1.53466047118113
"9","T1.1","1.1.2.4","Turbo","E02",3,"9/4/2023 14:32","9/6/2023 14:32",162.48,157.76,"hemisphere",7.2,6.4,2.87,2.87,"Aragonite","No Wax",4.72,0.0290497291974397,5.09485062720911,98.25927927,64.31212074,2.526428893,NA,NA,NA,5.45674053065707,1.87838312426363,0.368682668385233,0.107268942444807,0.0480361756677477,495.49,0.952592383297342,10803.002698345,0.909555259900593,1.0473166670505
"10","T1.1","1.1.3.1","Halimeda","E18",6,"9/4/2023 14:32","9/6/2023 14:32",67.67,57.7,"rhombus",12.24,9.09,1.12,1.12,"Aragonite","No Wax",9.97,0.147332643712132,4.99483455881445,191.8198,80.39304,0.841739534,NA,NA,NA,4.07504171485519,5.07172181372852,1.01539335367543,0.702565535805274,0.0519758648481544,495.49,2.01214958929544,10803.002698345,1.77561558907494,1.13321239218436
