"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros"
"1","1.1.1.1",1.1,"Aragonite",NA,NA,NA,NA,1398.31,1358.98,NA,9.09,6.54,10.9,NA,NA,"Aragonite",NA,"",0,39.3299999999999,0.0281268102209095,NA,NA,NA,8.65345175036701,459.6312,NA,0.0855686036979211,647.98974,2.15791996953532,11.1823862171049,1.59884941654433,0.184764353308669,0.26350854282071
"2","1.1.1.2",1.1,"Aragonite",NA,NA,NA,NA,1613.39,1575.12,NA,12.5,4.17,10.57,NA,NA,"Aragonite",NA,"",0,38.2700000000002,0.0237202412311966,NA,NA,NA,8.19798309507104,456.6538,NA,0.083805280937113,550.96125,2.9283184615978,11.7286075220681,3.56733896830965,0.435148368438877,0.000573903891536443
"3","1.1.1.3",1.1,"Aragonite",NA,NA,NA,NA,2519.01,2488.72,NA,17.57,9.03,6.58,NA,NA,"Aragonite",NA,"",0,30.2900000000004,0.0120245652061724,NA,NA,NA,10.1444491249942,667.3702,NA,0.0453871029902151,1043.963718,2.41292868379167,13.6064019743699,4.03481637499806,0.397736370431093,0.176474851948235
"4","1.1.1.4",1.1,"Aragonite",NA,NA,NA,NA,1398.27,1384.42,NA,9.8,6.88,7.14,NA,NA,"Aragonite",NA,"",0,13.8499999999999,0.0099050970127371,NA,NA,NA,7.83738007696869,373.0384,NA,0.0371275450463006,481.40736,2.90454637004303,11.182279588457,1.20579335898957,0.15385158651843,0.00868724571910129
"5","1.1.1.5",1.1,"Aragonite",NA,NA,NA,NA,1739.48,1717.79,NA,14.52,7.64,6.27,NA,NA,"Aragonite",NA,"",0,21.6900000000001,0.0124692436820199,NA,NA,NA,8.86017919049494,499.752,NA,0.0434015271574702,695.548656,2.50087464765369,12.0265154418661,3.15672639683165,0.356282455350128,0.146459164623313
"6","1.1.1.6",1.1,"Aragonite",NA,NA,NA,NA,1437.33,1412.18,NA,8.32,4.69,12.11,NA,NA,"Aragonite",NA,"",0,25.1499999999999,0.0174977214696694,NA,NA,NA,7.78897130808449,393.1438,NA,0.0639715035567135,472.541888,3.04169860175443,11.2854486779495,2.65034289730517,0.340268668669285,-0.0381223896772809
"7","1.1.2.1",1.1,"Calcite",NA,NA,NA,NA,1006.38,997.3,NA,10.62,5.37,6.53,NA,NA,"Calcite",0.01,"",0,9.08000000000004,0.00902243685287868,NA,NA,NA,7.19455595414369,322.8882,NA,0.0281211886962733,372.401982,2.70240237335794,10.0212215991819,1.97151865138123,0.274029233207331,0.00317138570345332
"9","1.1.2.3",1.1,"Calcite",NA,NA,NA,NA,370.17,362.12,NA,6.02,5.25,4.41,NA,NA,"Calcite",0.01,"",0,8.05000000000001,0.021746764999865,NA,NA,NA,5.18479346886521,162.6114,NA,0.0495045242830454,139.37805,2.6558701316312,7.18015367853087,0.558402177044929,0.107699984656698,0.0203356209401696
"10","1.1.2.4",1.1,"Calcite",NA,NA,NA,NA,1056.66,1047.12,NA,10.61,5.9,6.9,NA,NA,"Calcite",0.01,"",0,9.54000000000019,0.00902844812901046,NA,NA,NA,7.55913605367652,353.036,NA,0.0270227398905499,431.9331,2.44635106686661,10.1854078155601,1.78971201789217,0.236761450671564,0.0976204105988178
"11","1.1.2.5",1.1,"Calcite",NA,NA,NA,NA,917.21,906.68,NA,11.18,8.56,3.76,NA,NA,"Calcite",0.01,"",0,10.5300000000001,0.0114804679408206,NA,NA,NA,7.11269966709571,339.8464,NA,0.0309845859776655,359.835008,2.5489737785602,9.71604670250181,2.95576677763477,0.41556187045385,0.0597662196384356
