"","exptID","taxon","shellID","source","pocket","dateM1","dateM2","mass1","mass2","shape","xDim","yDim","zDim","calcX1","calcX2","polymorph","mag","notes","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","finalSA","calcX","massSA","volume","densityMV","rootMass","deviation","deviationStan","poros","tFont","tPoint","tAbrev","tColor","tLine","cTotal","percentTotal","SATotal","percentSATotal","perMassSA"
"1",1.1,"Pecten","1.1.4.4",NA,NA,NA,NA,1086.61,1050.01,NA,19.13,23.93,0.95,23.546,22.87,"Calcite",0.01,"calcx is y, swapped?",0,36.5999999999999,0.0336827380568925,NA,NA,NA,7.57635689693126,1200.29708,23.208,0.0304924510855262,527.599068,2.05953737583176,10.2807444943206,12.8705477010229,1.69877790554402,0.240303439383344,3,"P","Pecte","#8000FF",7,685.66,5.33792258553801,15978.8459059166,7.51178831729991,0.710606098050525
"2",1.1,"Saccostrea","1.1.5.2",NA,NA,NA,NA,669.67,649.27,NA,16.18,10.7,1.84,NA,NA,"Calcite",0,"",0,20.4,0.0304627652425821,NA,NA,NA,6.8295701878986,445.1704,NA,0.0458251492012946,318.55184,2.10223240273859,8.74890326389999,6.07014327070047,0.888803116989153,0.224554628277907,3,"S","Sacco","#FF00BF",8,685.66,2.97523553948021,15978.8459059166,2.78599845458903,1.0679243323267
"3",1.1,"Calcite","1.1.2.4",NA,NA,NA,NA,1056.66,1047.12,NA,10.61,5.9,6.9,NA,NA,"Calcite",0.01,"",0,9.54000000000019,0.00902844812901046,NA,NA,NA,7.55913605367652,353.036,NA,0.0270227398905499,431.9331,2.44635106686661,10.1854078155601,1.78971201789217,0.236761450671564,0.0976204105988178,3,"C","Calci","#80FF00",3,685.66,1.39136014934518,15978.8459059166,2.20939611082474,0.629746808428031
"4",1.1,"Saccostrea","1.1.5.5",NA,NA,NA,NA,380.86,366.81,NA,10.59,11.04,2.19,NA,NA,"Calcite",0,"",0,14.05,0.0368901958724991,NA,NA,NA,6.34994138040829,328.5666,NA,0.0427614979733181,256.040784,1.48749739807077,7.24861646211207,4.36335287319724,0.687148528120221,0.451310439664046,3,"S","Sacco","#FF00BF",8,685.66,2.0491205553773,15978.8459059166,2.05625989470453,0.996527997581622
"5",1.1,"Aragonite","1.1.1.6",NA,NA,NA,NA,1437.33,1412.18,NA,8.32,4.69,12.11,NA,NA,"Aragonite",NA,"",0,25.1499999999999,0.0174977214696694,NA,NA,NA,7.78897130808449,393.1438,NA,0.0639715035567135,472.541888,3.04169860175443,11.2854486779495,2.65034289730517,0.340268668669285,-0.0748051596305417,3,"A","Arago","#FFBF00",2,685.66,3.66799871656505,15978.8459059166,2.46040172309583,1.49081293600695
"6",1.1,"Pecten","1.1.4.3",NA,NA,NA,NA,629.66,608.12,NA,15.33,18.55,1.05,18.39,17.584,"Calcite",0.01,"calcx is y, swapped",0,21.54,0.0342089381571006,NA,NA,NA,6.68382580365511,744.0454,17.987,0.0289498463400217,350.3417925,1.79727344404679,8.57107644056043,9.6010580654483,1.43646144401278,0.337044100314722,3,"P","Pecte","#8000FF",7,685.66,3.14149870198057,15978.8459059166,4.65644017334503,0.67465673025577
"7",1.1,"Saccostrea","1.1.5.1",NA,NA,NA,NA,584.68,556.65,NA,15.59,10.91,1.59,NA,NA,"Calcite",0,"",0,28.03,0.0479407539166723,NA,NA,NA,6.46679851675522,424.4438,NA,0.0660393672849031,270.438171,2.16197291173072,8.36192137030391,6.14773382774826,0.950661105618139,0.202518291504715,3,"S","Sacco","#FF00BF",8,685.66,4.08803196919756,15978.8459059166,2.65628570736036,1.53900311170216
"8",1.1,"Aragonite","1.1.1.1",NA,NA,NA,NA,1398.31,1358.98,NA,9.09,6.54,10.9,NA,NA,"Aragonite",NA,"",0,39.3299999999999,0.0281268102209095,NA,NA,NA,8.65345175036701,459.6312,NA,0.0855686036979211,647.98974,2.15791996953532,11.1823862171049,1.59884941654433,0.184764353308669,0.237484109704834,3,"A","Arago","#FFBF00",2,685.66,5.73607910626256,15978.8459059166,2.8764981069741,1.99411885318311
"9",1.1,"Pecten","1.1.4.1",NA,NA,NA,NA,482.63,458.35,NA,17.46,12.01,1.12,20.463,19.587,"Calcite",0.01,"",0,24.28,0.0503076891200298,NA,NA,NA,6.1697621676575,552.7589,20.025,0.043925118166347,269.36028,1.79176380422533,7.84400938545305,8.24841261078083,1.33690933080368,0.339076427803272,3,"P","Pecte","#8000FF",7,685.66,3.54111367149899,15978.8459059166,3.45931679455852,1.02364538485436
"10",1.1,"Centrostephanus","1.1.3.4",NA,NA,NA,NA,255.1,232.15,NA,67.47,2.89,2.96,NA,NA,"Calcite",0.08,"broken?",0,22.95,0.0899647197177577,NA,NA,NA,8.32594276944104,627.562167544407,NA,0.0365700821160097,151.101540001271,1.68826869665163,6.3421545285163,23.3153142564803,2.80032122512963,0.377252417317731,3,"C","Centr","#00FF40",4,685.66,3.34713998191523,15978.8459059166,3.92745615822,0.852241208322545
