"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","density","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","calcZ","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSA","calcC","calcSAPerim","finalSA","volume","densityMV"
"1","1.1.1.1","T1.1","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",33.55,29.89,2.447,"cylinder1",6.43,6.57,0.84,0.84,6.421,6.561,32.174,32.978,NA,NA,"Calcite","",0,3.66,0.109090909090909,NA,NA,NA,3.28613355096329,83.5115437936834,NA,82.2813454481391,NA,NA,83.5115437936834,27.8705481201349,1.20377969803048
"2","1.1.1.2","T1.1","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",32.58,28.4,2.463,"cylinder1",5.86,6.05,0.87,0.87,5.98,6.092,26.15,27.958,NA,NA,"Calcite","",0,4.18,0.128299570288521,NA,NA,NA,3.13610610399974,71.9655624732102,NA,70.6055083336491,NA,NA,71.9655624732102,24.2249073456289,1.34489678474988
"3","1.1.1.3","T1.1","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",35.25,26.82,2.958,"cylinder1",6.78,6.64,0.62,0.62,6.884,6.738,36.7,34.751,NA,NA,"Calcite","",0,8.43,0.239148936170213,NA,NA,NA,3.03340096724238,83.7856477527091,NA,84.717380289432,NA,NA,83.7856477527091,21.9219581385259,1.60797679556058
"4","1.1.1.4","T1.1","Marginopora","E17",10,"9/4/2023 14:32","9/6/2023 14:32",36.43,32.09,2.545,"cylinder1",6.64,6.78,0.81,0.81,6.68,6.75,34.905,34.83,NA,NA,"Calcite","",0,4.34,0.119132583035959,NA,NA,NA,3.31609983775832,87.7908642267707,NA,86.8225936817729,NA,NA,87.7908642267707,28.6399775680741,1.27199820298077
"5","1.1.1.5","T1.1","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",38.15,35.04,3.208,"cylinder1",6.83,6.8,0.86,0.86,6.858,6.9666,37.664,37.035,NA,NA,"Calcite","",0,3.11,0.0815203145478375,NA,NA,NA,3.41829355266674,91.3666249850866,NA,93.3744425734915,NA,NA,91.3666249850866,31.3702477787147,1.21612045493263
"6","1.1.2.1","T1.1","Turbo","E05",3,"9/4/2023 14:32","9/6/2023 14:32",224.04,217.88,2.726,"hemisphere",7.91,7.06,3.32,3.32,8.032,7.207,45.349,41.825,NA,NA,"Aragonite","",0,6.16,0.027495090162471,NA,NA,NA,5.70216468515051,122.348383416258,NA,125.440939039807,NA,NA,122.348383416258,91.9687750961977,2.43604418745012
"7","1.1.2.2","T1.1","Turbo","E05",10,"9/4/2023 14:32","9/6/2023 14:32",220.82,215.57,2.76,"hemisphere",8.13,7.27,2.96,2.96,8.013,7.415,44.559,44.522,NA,NA,"Aragonite","",0,5.25,0.0237750203785889,NA,NA,NA,5.59292362982675,120.367452168537,NA,118.74990570239,NA,NA,120.367452168537,82.2823213169402,2.6836870480286
"8","1.1.2.3","T1.1","Turbo","E02",7,"9/4/2023 14:32","9/6/2023 14:32",206.58,198.26,2.574,"hemisphere",7.92,7.09,3.09,3.09,8.034,7.185,45.224,43.009,NA,NA,"Aragonite","",0,8.32000000000002,0.0402749540129733,NA,NA,NA,5.57754777206168,118.200852794989,NA,120.556792165162,NA,NA,118.200852794989,83.5861267740759,2.47146276508736
"9","1.1.2.4","T1.1","Turbo","E02",3,"9/4/2023 14:32","9/6/2023 14:32",162.48,157.76,2.768,"hemisphere",7.2,6.4,2.87,2.87,7.274,6.41,37.355,35.78,NA,NA,"Aragonite","",0,4.72,0.0290497291974397,NA,NA,NA,5.09485062720911,98.2592792670626,NA,99.8522263302987,NA,NA,98.2592792670626,64.3121207410861,2.52642889283853
"11","1.1.3.1","T1.1","Halimeda","E18",6,"9/4/2023 14:32","9/6/2023 14:32",67.67,57.7,2.007,"rhombus",12.24,9.09,1.12,1.12,12.44,9.247,70.714,72.845,NA,43.09,"Aragonite","",0,9.97,0.147332643712132,NA,NA,NA,4.99483455881445,145.413020824323,7.62308500542923,191.8198,7.75017111101426,191.8198,191.8198,80.39304,0.841739533671074
