"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","waxMass1","waxMass2","shape","xDim","yDim","zDim","thick","waxYN","polymorph","notes","exclude","taxon.split","cMass","pMass","cSize","cMassWax","waxMassDiff","pMassWax","wax","finalSA","volume","densityMV"
"1","2.1.1.1","T2.1","Abranda","E20",2,"10/16/2023 14:00","10/18/2023 14:00",48.53,38.15,NA,NA,"2dome",14.2,9.21,2.18,0.13,"No Wax","Aragonite","",0,"Abranda 1",10.38,0.213888316505255,6.58165059308019,NA,NA,NA,NA,235.29209506473,117.384982230049,0.413425968791234
"2","2.1.1.2","T2.1","Abranda","E20",3,"10/16/2023 14:00","10/18/2023 14:00",340.2,315.97,NA,NA,"2dome",25.75,16.08,2.89,0.3,"No Wax","Aragonite","",0,"Abranda 1",24.23,0.0712228101116989,10.6166387552557,NA,NA,NA,NA,702.881719076789,482.555238884341,0.704997008811957
"3","2.1.1.3","T2.1","Abranda","E20",9,"10/16/2023 14:00","10/18/2023 14:00",45.91,32.84,NA,NA,"2dome",13.53,6.89,1.7,0.12,"No Wax","Aragonite","",0,"Abranda 1",13.07,0.284687431932041,5.41155379420532,NA,NA,NA,NA,164.590709475325,64.8061699579841,0.708420201807403
"4","2.1.1.4","T2.1","Abranda","E20",6,"10/16/2023 14:00","10/18/2023 14:00",111.1,94.72,NA,NA,"2dome",18.41,12.02,2.55,0.21,"No Wax","Aragonite","",0,"Abranda 1",16.38,0.147434743474347,8.26354022606159,NA,NA,NA,NA,388.45510418299,230.276153621183,0.482464198975485
"5","2.1.1.5","T2.1","Abranda","E20",5,"10/16/2023 14:00","10/18/2023 14:00",116.58,95.74,NA,NA,"2dome",18.81,12.06,2.01,0.22,"No Wax","Aragonite","",0,"Abranda 1",20.84,0.178761365585864,7.69680919123724,NA,NA,NA,NA,381.717644578101,183.309242919051,0.635974477574387
"6","2.1.2.1","T2.1","Abranda","E20",1,"10/16/2023 14:00","10/18/2023 14:00",68.86,62.44,204.29,196.91,"2dome",16.13,10.79,2.44,0.15,"Wax","Aragonite","",0,"Abranda 2",7.38,0.107173976183561,7.51649222908306,7.38,0.959999999999994,0.107173976183561,135.43,155.396602955145,174.371442973715,0.394904112884929
"7","2.1.2.2","T2.1","Abranda","E20",8,"10/16/2023 14:00","10/18/2023 14:00",86.45,82.82,268.06,263.16,"2dome",16.84,11.04,2.11,0.22,"Wax","Aragonite","",0,"Abranda 2",4.89999999999998,0.0566801619433196,7.32033920014355,4.89999999999998,1.26999999999997,0.0566801619433196,181.61,160.002884643655,158.965741759746,0.543827865318659
"9","2.1.2.4","T2.1","Abranda","E20",3,"10/16/2023 14:00","10/18/2023 14:00",34.7,31.89,139.27,135.44,"2dome",13.63,8.44,1.56,0.09,"Wax","Aragonite","",0,"Abranda 2",3.83000000000001,0.110374639769453,5.64054368281315,3.83000000000001,1.02000000000001,0.110374639769453,104.57,97.9953854841611,72.460803139122,0.478879594163168
"10","2.1.2.5","T2.1","Abranda","E20",9,"10/16/2023 14:00","10/18/2023 14:00",200.26,191.96,591.18,580.97,"2dome",20.24,13.37,2.7,0.26,"Wax","Aragonite","",0,"Abranda 2",10.2099999999999,0.0509837211624884,9.00675936661387,10.2099999999999,1.90999999999994,0.0509837211624884,390.92,235.437864963857,297.229128301004,0.673756307615977
"11","2.1.3.1","T2.1","Pinguitellina","E20",9,"10/16/2023 14:00","10/18/2023 14:00",167.92,155.28,NA,NA,"2dome",13.48,10.83,3.42,0.51,"No Wax","Aragonite","",0,"Pinguitellina 1",12.64,0.0752739399714149,7.93319540439215,NA,NA,NA,NA,302.808691101559,217.011761174503,0.773782946561005
"12","2.1.3.2","T2.1","Pinguitellina","E20",2,"10/16/2023 14:00","10/18/2023 14:00",52.28,45.77,NA,NA,"2dome",10.1,8.17,1.93,0.3,"No Wax","Aragonite","",0,"Pinguitellina 1",6.51,0.124521805661821,5.42042799686589,NA,NA,NA,NA,153.021637448848,66.3045771832563,0.788482518416574
"14","2.1.3.4","T2.1","Pinguitellina","E20",9,"10/16/2023 14:00","10/18/2023 14:00",79.27,70.47,NA,NA,"2dome",10.41,8.54,2.14,0.27,"No Wax","Aragonite","",0,"Pinguitellina 1",8.8,0.111012993566292,5.75140730266993,NA,NA,NA,NA,168.420467999683,79.8420541421464,0.992835177547813
"15","2.1.3.5","T2.1","Pinguitellina","E20",8,"10/16/2023 14:00","10/18/2023 14:00",55.75,45.49,NA,NA,"2dome",10.24,8.23,2.06,0.26,"No Wax","Aragonite","",0,"Pinguitellina 1",10.26,0.184035874439462,5.57856294061537,NA,NA,NA,NA,159.042499769453,72.7524790730568,0.766296911257371
"16","2.1.4.1","T2.1","Pinguitellina","E20",6,"10/16/2023 14:00","10/18/2023 14:00",58.14,53.5,105.17,100.13,"2dome",9.75,8.06,2.11,0.31,"Wax","Aragonite","",0,"Pinguitellina 2",5.04000000000001,0.0866873065015481,5.49381508605448,5.04000000000001,0.400000000000006,0.0866873065015481,47.03,75.7071993236356,70.0337937471257,0.830170648900284
"18","2.1.4.3","T2.1","Pinguitellina","E20",4,"10/16/2023 14:00","10/18/2023 14:00",107.41,102.75,214.85,209.51,"2dome",12.39,10.16,2.49,0.37,"Wax","Aragonite","",0,"Pinguitellina 2",5.34,0.0497160413369333,6.79289320953674,5.34,0.680000000000007,0.0497160413369333,107.44,118.345994375585,131.17386645004,0.818836883495456
"19","2.1.4.4","T2.1","Pinguitellina","E20",8,"10/16/2023 14:00","10/18/2023 14:00",82,76.88,162.51,156.83,"2dome",10.47,8.59,2.27,0.36,"Wax","Aragonite","",0,"Pinguitellina 2",5.67999999999998,0.0692682926829266,5.88828154752014,5.67999999999998,0.559999999999974,0.0692682926829266,80.51,86.8249030256082,86.2971082603219,0.950205651765765
"20","2.1.4.5","T2.1","Pinguitellina","E20",7,"10/16/2023 14:00","10/18/2023 14:00",69.36,66.24,120.61,116.77,"2dome",9.57,7.87,2.23,0.35,"Wax","Aragonite","",0,"Pinguitellina 2",3.84,0.055363321799308,5.51734969784331,3.84,0.719999999999999,0.055363321799308,51.25,74.7757956416626,71.7620447342232,0.966527643643387
"21","2.1.5.1","T2.1","Ethalia","E20",4,"10/16/2023 14:00","10/18/2023 14:00",685.89,678.35,NA,NA,"sphere",14.86,12.6,10.78,0.27,"No Wax","Aragonite","",0,"Ethalia 1",7.53999999999996,0.0109930163728877,12.6377387064656,NA,NA,NA,NA,510.438155280221,1056.83390495061,0.649004537786904
"22","2.1.5.2","T2.1","Ethalia","E20",4,"10/16/2023 14:00","10/18/2023 14:00",78.57,67.67,NA,NA,"sphere",7.52,6.35,5.55,0.08,"No Wax","Aragonite","",0,"Ethalia 1",10.9,0.138729795087183,6.42334895778992,NA,NA,NA,NA,131.645438182367,138.766032464653,0.566204845699638
"23","2.1.5.3","T2.1","Ethalia","E20",3,"10/16/2023 14:00","10/18/2023 14:00",135.83,128.68,NA,NA,"sphere",8.64,7.44,5.83,0.31,"No Wax","Aragonite","",0,"Ethalia 1",7.15000000000001,0.0526393285724803,7.20972020487489,NA,NA,NA,NA,167.56839825886,196.224781921903,0.692216338169051
"24","2.1.5.4","T2.1","Ethalia","E21",1,"10/16/2023 14:00","10/18/2023 14:00",129.84,124.68,NA,NA,"sphere",9.33,7.48,5.9,0.19,"No Wax","Aragonite","",0,"Ethalia 1",5.16,0.0397412199630314,7.43952289112989,NA,NA,NA,NA,180.028652854698,215.59261266669,0.602246980515679
"25","2.1.5.5","T2.1","Ethalia","E21",3,"10/16/2023 14:00","10/18/2023 14:00",469.7,458.87,NA,NA,"sphere",13.36,11.47,10.44,0.35,"No Wax","Aragonite","",0,"Ethalia 1",10.83,0.0230572705982542,11.6956256274879,NA,NA,NA,NA,434.228458211643,837.66235223384,0.560727122028852
"26","2.1.6.1","T2.1","Ethalia","E20",8,"10/16/2023 14:00","10/18/2023 14:00",113.5,105.34,156.86,147.84,"sphere",8.65,7.29,6.09,0.26,"Wax","Aragonite","",0,"Ethalia 2",8.16,0.0718942731277533,7.26864808516283,9.02000000000001,0.860000000000014,0.0794713656387666,43.36,169.408952674843,201.075682151588,0.564464080317948
"27","2.1.6.2","T2.1","Ethalia","E20",7,"10/16/2023 14:00","10/18/2023 14:00",205.18,196.18,255.89,246.83,"sphere",9.72,8.19,6.98,0.25,"Wax","Aragonite","",0,"Ethalia 2",9,0.0438639243590993,8.2211996757215,9.05999999999997,0.0599999999999739,0.0441563505214932,50.71,216.250518018887,290.940520604905,0.705230057241264
"28","2.1.6.3","T2.1","Ethalia","E21",1,"10/16/2023 14:00","10/18/2023 14:00",460.14,449,588.6,575.34,"sphere",13.65,11.24,10.08,0.32,"Wax","Aragonite","",0,"Ethalia 2",11.14,0.0242100230364671,11.5643128346288,13.26,2.12,0.0288173164689008,128.46,426.872942612038,809.763350709042,0.568240090882224
"29","2.1.6.4","T2.1","Ethalia","E21",2,"10/16/2023 14:00","10/18/2023 14:00",241.49,236.1,311.9,306.26,"sphere",11,8.99,6.89,0.28,"Wax","Aragonite","",0,"Ethalia 2",5.39000000000001,0.0223197647935733,8.79948387124428,5.63999999999999,0.249999999999972,0.0233550043480061,70.41,252.212084778434,356.75512531133,0.676906883367853
"30","2.1.6.5","T2.1","Ethalia","E21",6,"10/16/2023 14:00","10/18/2023 14:00",96.04,89.16,120.32,119.04,"sphere",8.14,6.92,6.43,0.2,"Wax","Aragonite","",0,"Ethalia 2",6.88000000000001,0.0716368179925032,7.12821008280977,1.27999999999999,-5.60000000000002,0.0133277800916284,24.28,161.205625937789,189.644431271225,0.506421408507619
"31","2.1.7.1","T2.1","Natica","E20",3,"10/16/2023 14:00","10/18/2023 14:00",75.58,71.02,NA,NA,"sphere",6.03,3.77,5.33,0.14,"No Wax","Aragonite","",0,"Natica 1",4.56,0.06033342154009,4.94836762826219,NA,NA,NA,NA,79.9070723691722,63.4431143252012,1.19130343464204
"32","2.1.7.2","T2.1","Natica","E20",1,"10/16/2023 14:00","10/18/2023 14:00",93.25,88.83,NA,NA,"sphere",6.93,5.53,5.58,0.23,"No Wax","Aragonite","",0,"Natica 1",4.42,0.0473994638069705,5.97994957135433,NA,NA,NA,NA,113.600548859168,111.967295226958,0.832832478546362
"33","2.1.7.3","T2.1","Natica","E21",8,"10/16/2023 14:00","10/18/2023 14:00",42.85,34.37,NA,NA,"sphere",5.28,4.03,4.34,0.18,"No Wax","Aragonite","",0,"Natica 1",8.48,0.197899649941657,4.52004646622553,NA,NA,NA,NA,65.0388219109427,48.3534337702383,0.88618318615408
"34","2.1.7.4","T2.1","Natica","E21",7,"10/16/2023 14:00","10/18/2023 14:00",145.08,137.23,NA,NA,"sphere",8.65,6.45,6.5,0.26,"No Wax","Aragonite","",0,"Natica 1",7.85000000000002,0.0541080783016268,7.13120727150436,NA,NA,NA,NA,162.860163162095,189.883750469193,0.764046421252556
"35","2.1.7.5","T2.1","Natica","E21",1,"10/16/2023 14:00","10/18/2023 14:00",249.73,241.14,NA,NA,"sphere",9.79,7.69,8.79,0.28,"No Wax","Aragonite","",0,"Natica 1",8.59,0.0343971489208345,8.71430258052046,NA,NA,NA,NA,240.894846309727,346.494646529192,0.720732636136011
"36","2.1.8.1","T2.1","Natica","E20",7,"10/16/2023 14:00","10/18/2023 14:00",103.71,97.63,120.25,110.02,"sphere",6.66,5.19,5.74,0.27,"Wax","Aragonite","",0,"Natica 2",6.08,0.0586250120528396,5.83245181854103,10.23,4.15000000000001,0.0986404396875904,16.54,108.003801546797,103.884822417696,0.998317151498871
"37","2.1.8.2","T2.1","Natica","E21",9,"10/16/2023 14:00","10/18/2023 14:00",301.17,288.99,378.88,366.67,"sphere",10.4,7.96,8.01,0.31,"Wax","Aragonite","",0,"Natica 2",12.18,0.0404422751270047,8.72019722921745,12.21,0.0299999999999727,0.0405418866420958,77.71,242.732328946227,347.198264323428,0.867429451546593
"38","2.1.8.3","T2.1","Natica","E21",5,"10/16/2023 14:00","10/18/2023 14:00",54.87,51.66,65.95,62.37,"sphere",5.7,4.66,5.11,0.22,"Wax","Aragonite","",0,"Natica 2",3.21,0.0585019136139967,5.13918073009681,3.58000000000001,0.370000000000005,0.0652451248405323,11.08,83.5387534767219,71.0690147617287,0.772066422813954
"39","2.1.8.4","T2.1","Natica","E22",5,"10/16/2023 14:00","10/18/2023 14:00",75.25,71.41,100.02,93.97,"sphere",6.46,5.33,5.76,0.18,"Wax","Aragonite","",0,"Natica 2",3.84,0.051029900332226,5.83168517101258,6.05,2.20999999999999,0.0803986710963455,24.77,107.513154587477,103.843862332678,0.724645619968624
"40","2.1.8.5","T2.1","Natica","E22",4,"10/16/2023 14:00","10/18/2023 14:00",92.77,87.95,112.92,112.26,"sphere",7.09,5.75,5.83,0.2,"Wax","Aragonite","",0,"Natica 2",4.81999999999999,0.0519564514390427,6.19432818965498,0.659999999999997,-4.16,0.00711436886924649,20.15,121.673499501097,124.446090280907,0.745463355181299
"41","2.1.9.1","T2.1","Calcite",NA,5,"10/16/2023 14:00","10/18/2023 14:00",542.32,536.75,NA,NA,"cube",7.14,7.38,3.53,3.53,"No Wax","Calcite","",0,"Calcite",5.57000000000005,0.0102706888921671,5.70833904065827,NA,NA,NA,NA,207.8976,186.006996,2.91558926095446
"42","2.1.9.2","T2.1","Calcite",NA,6,"10/16/2023 14:00","10/18/2023 14:00",579.6,570.02,NA,NA,"cube",7.29,6.7,4.25,4.25,"No Wax","Calcite","",0,"Calcite",9.58000000000004,0.016528640441684,5.92102762094699,NA,NA,NA,NA,216.601,207.58275,2.79213952026361
"43","2.1.9.3","T2.1","Calcite",NA,2,"10/16/2023 14:00","10/18/2023 14:00",339.74,335.11,NA,NA,"cube",9.33,4.04,3.24,3.24,"No Wax","Calcite","",0,"Calcite",4.63,0.0136280685229882,4.96138207236812,NA,NA,NA,NA,162.024,122.125968,2.78188173706021
"44","2.1.9.4","T2.1","Calcite",NA,4,"10/16/2023 14:00","10/18/2023 14:00",405.22,399.81,NA,NA,"cube",7.2,6.65,3.31,3.31,"No Wax","Calcite","",0,"Calcite",5.41000000000003,0.0133507724199201,5.411621063499,NA,NA,NA,NA,187.447,158.4828,2.55687052475095
"45","2.1.9.5","T2.1","Calcite",NA,2,"10/16/2023 14:00","10/18/2023 14:00",293.89,287.78,NA,NA,"cube",9.53,9.39,1.32,1.32,"No Wax","Calcite","",0,"Calcite",6.11000000000001,0.0207900915308449,4.90656407520545,NA,NA,NA,NA,228.9222,118.122444,2.48801150778763
"46","2.2.1.1","T2.2","Abranda","E21",4,"10/31/2023 16:00","11/2/2023 16:00",97.41,86.87,NA,NA,"2dome",18.51,11.97,2.25,0.19,"No Wax","Aragonite","",0,"Abranda 1",10.54,0.108202443280977,7.92916939036005,NA,NA,NA,NA,379.84164252501,201.732689313719,0.482866710057661
"47","2.2.1.2","T2.2","Abranda","E21",6,"10/31/2023 16:00","11/2/2023 16:00",77.25,65.79,NA,NA,"2dome",16.03,10.67,1.75,0.14,"No Wax","Aragonite","",0,"Abranda 1",11.46,0.148349514563107,6.68926904024961,NA,NA,NA,NA,287.911415817869,120.348920044374,0.641883616168033
"48","2.2.1.3","T2.2","Abranda","E21",9,"10/31/2023 16:00","11/2/2023 16:00",67.25,50.7,NA,NA,"2dome",15.72,10.04,1.89,0.17,"No Wax","Aragonite","",0,"Abranda 1",16.55,0.246096654275093,6.68163405588567,NA,NA,NA,NA,270.361065538223,120.675691102541,0.557278764145268
"49","2.2.1.4","T2.2","Abranda","E21",5,"10/31/2023 16:00","11/2/2023 16:00",218.96,201.11,NA,NA,"2dome",19.22,12.48,2.41,0.32,"No Wax","Aragonite","",0,"Abranda 1",17.85,0.0815217391304348,8.33031972666791,NA,NA,NA,NA,413.273371987084,234.339036908195,0.934372705840641
"50","2.2.1.5","T2.2","Abranda","E21",3,"10/31/2023 16:00","11/2/2023 16:00",117.28,103.37,NA,NA,"2dome",18.12,11.72,2.11,0.18,"No Wax","Aragonite","",0,"Abranda 1",13.91,0.118605047748977,7.65225475849578,NA,NA,NA,NA,361.55773036075,180.884401225986,0.648369893728302
"51","2.2.2.1","T2.2","Abranda","E21",2,"10/31/2023 16:00","11/2/2023 16:00",91.19,84.8,215.74,207.56,"2dome",17.96,11.32,2,0.17,"Wax","Aragonite","",0,"Abranda 2",8.18000000000001,0.0897028182914794,7.40845393707602,8.18000000000001,1.79000000000001,0.0897028182914794,124.55,172.243472099837,163.865891690264,0.556491647281702
"52","2.2.2.2","T2.2","Abranda","E21",8,"10/31/2023 16:00","11/2/2023 16:00",103.47,95.3,191.72,188.66,"2dome",18.3,11.62,1.99,0.22,"Wax","Aragonite","",0,"Abranda 2",3.06,0.0295737895042041,7.50763985947492,3.06,-5.11,0.0295737895042041,88.25,179.452798921295,170.302990951926,0.607564197326447
