Date,Time,Temp.[°C],pH ,mV[pH],ORP[mV],EC[µS/cm],EC Abs.[µS/cm],RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],Remarks,Interval
9/4/2023,14:32:22,19.29,5.24,81.9,290,53900,48050,0,26.95,35.72,25.5,14.532,,1
9/4/2023,14:37:22,19.3,5.23,82.8,286.5,55620,49600,0,27.81,37,26.5,14.539,,2
9/4/2023,14:42:22,19.31,5.23,82.7,286.6,55600,49590,0,27.8,36.99,26.5,14.541,,3
9/4/2023,14:47:22,19.32,5.23,82.8,287.2,55590,49590,0,27.79,36.98,26.5,14.537,,4
9/4/2023,14:52:22,19.33,5.23,82.8,287.5,55620,49620,0,27.81,37,26.5,14.535,,5
9/4/2023,14:57:22,19.34,5.23,82.7,287.6,55590,49610,0,27.79,36.98,26.5,14.533,,6
9/4/2023,15:02:22,19.35,5.23,82.7,287.7,55600,49630,0,27.8,36.99,26.5,14.535,,7
9/4/2023,15:07:22,19.36,5.23,82.6,287.7,55610,49650,0,27.81,37,26.5,14.536,,8
9/4/2023,15:12:22,19.37,5.23,82.6,287.7,55620,49660,0,27.81,37,26.5,14.537,,9
9/4/2023,15:17:22,19.38,5.23,82.4,287.7,55610,49670,0,27.8,37,26.5,14.534,,10
9/4/2023,15:22:22,19.39,5.24,82.3,287.8,55600,49670,0,27.8,36.99,26.4,14.532,,11
9/4/2023,15:27:22,19.4,5.24,82.2,287.8,55620,49700,0,27.81,37,26.5,14.534,,12
9/4/2023,15:32:22,19.41,5.24,82.1,287.8,55630,49720,0,27.81,37.01,26.4,14.535,,13
9/4/2023,15:37:22,19.42,5.24,82.1,287.8,55610,49720,0,27.8,37,26.4,14.536,,14
9/4/2023,15:42:22,19.43,5.24,82.2,287.9,55620,49740,0,27.81,37,26.4,14.533,,15
9/4/2023,15:47:22,19.44,5.24,82.1,288,55610,49740,0,27.8,37,26.4,14.533,,16
9/4/2023,15:52:22,19.45,5.24,82,288.1,55610,49750,0,27.8,36.99,26.4,14.534,,17
9/4/2023,15:57:22,19.47,5.24,82,288.2,55630,49780,0,27.81,37.01,26.4,14.534,,18
9/4/2023,16:02:22,19.48,5.24,81.9,288.3,55630,49800,0,27.81,37.01,26.4,14.527,,19
9/4/2023,16:07:22,19.5,5.25,81.7,288.7,55610,49800,0,27.8,37,26.4,14.534,,20
9/4/2023,16:12:22,19.52,5.25,81.6,288.6,55620,49820,0,27.81,37,26.4,14.531,,21
9/4/2023,16:17:22,19.53,5.25,81.6,288.6,55610,49830,0,27.8,36.99,26.4,14.53,,22
