Name: Mikayla Schmidt    Email: mikaylakschmidt@gmail.com,,,,,,,,,,,,,,,,,,,,,
Column Name,Units,Description,,,,,,,,,,,,,,,,,,,
shellID,NA,"Unique identifier for each individual shell. The first number (1-5) refers to the experiment number, the second (1-3) to the replicate number, the third (1-11) refers to the taxon, and the fourth (1-5) to the set of samples it is grouped with.",,,,,,,,,,,,,,,,,,,
exptID,NA,Unique identifier for each experiment. The first letter refers to the type of study (P = pilot) while the number refers to the individual experiment.,,,,,,,,,,,,,,,,,,,
taxon,NA,Scientific name of taxon of individual shell.,,,,,,,,,,,,,,,,,,,
source,NA,The bag from which each individual shell was sourced.,,,,,,,,,,,,,,,,,,,
pocket,NA,The pocket in which each shell was randomly placed. Varies from 1-11 to 1-5 based on the number of shells sampled.,,,,,,,,,,,,,,,,,,,
dateM1,yy/mm/dd then hour/minute,The date and time at which the experiment was started. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,,,
dateM2,yy/mm/dd then hour/minute,The date and time at which the experiment was finished. Rounded to the nearest minute.,,,,,,,,,,,,,,,,,,,
mass1,milligrams,The mass of each individual measured before experimental treatment.,,,,,,,,,,,,,,,,,,,
mass2,milligrams,The mass of each individual measured after experimental treatment.,,,,,,,,,,,,,,,,,,,
shape,NA,Rough three-dimensional shape of the shell.,,,,,,,,,,,,,,,,,,,
xDim,millimeters,x axis dimension in mm,,,,,,,,,,,,,,,,,,,
yDim,millimeters,y axis dimension in mm,,,,,,,,,,,,,,,,,,,
zDim,millimeters,z axis dimension in mm,,,,,,,,,,,,,,,,,,,
thick,millimeters,"thickness of shell in mm, if thickness differs from z axis",,,,,,,,,,,,,,,,,,,
calcX,millimeters,x axis dimension in mm (measured in ImageJ),,,,,,,,,,,,,,,,,,,
calcY,millimeters,y axis dimension in mm (measured in ImageJ),,,,,,,,,,,,,,,,,,,
calcSA1,millimeters squared,surface area as calculated in imageJ from image 1 of specimen,,,,,,,,,,,,,,,,,,,
calcSA2,millimeters squared,surface area as calculated in imageJ from image 2 of specimen,,,,,,,,,,,,,,,,,,,
perimeter,millimeters,calculated perimeter from imageJ,,,,,,,,,,,,,,,,,,,
polymorph,NA,type of calcium carbonate (Calcite or Aragonite),,,,,,,,,,,,,,,,,,,
notes,NA,notes on damaged/lost shells for exclusion,,,,,,,,,,,,,,,,,,,
exclude,NA,"column to indicate exclusion of shells for reasons denoted in 'notes' column. 0 = include, 1=exclude. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
shellID,exptID,taxon,source,pocket,dateM1,dateM2,mass1,mass2,shape,xDim,yDim,zDim,thick,calcX,calcY,calcSA1,calcSA2,perimeter,polymorph,note,exclude
4.1.1.1,T4.1,Marginopora,E21,5,11/6/2023 12:30,11/13/2023 12:30,42.93,40.34,cylinder,8.47,8.26,0.59,0.59,NA,NA,NA,NA,NA,Calcite,,0
4.1.1.2,T4.1,Marginopora,E21,10,11/6/2023 12:30,11/13/2023 12:30,125.39,119.04,cylinder,11.73,12.14,1.01,1.01,NA,NA,NA,NA,NA,Calcite,,0
4.1.1.3,T4.1,Marginopora,E21,2,11/6/2023 12:30,11/13/2023 12:30,62.08,0,cylinder,8.27,7.74,1.03,1.03,NA,NA,NA,NA,NA,Calcite,lost,1
4.1.1.4,T4.1,Marginopora,E21,3,11/6/2023 12:30,11/13/2023 12:30,66.08,62.5,cylinder,7.84,8.07,1.07,1.07,NA,NA,NA,NA,NA,Calcite,,0
4.1.1.5,T4.1,Marginopora,E21,10,11/6/2023 12:30,11/13/2023 12:30,119.79,113.11,cylinder,10.6,10.97,1.09,1.09,NA,NA,NA,NA,NA,Calcite,,0
4.1.2.1,T4.1,Turbo,E07,11,11/6/2023 12:30,11/13/2023 12:30,172.59,170.55,hemisphere,7.51,6.93,2.78,2.78,NA,NA,NA,NA,NA,Aragonite,,0
4.1.2.2,T4.1,Turbo,E07,3,11/6/2023 12:30,11/13/2023 12:30,106.75,104.96,hemisphere,6.33,5.6,2.34,2.34,NA,NA,NA,NA,NA,Aragonite,,0
4.1.2.3,T4.1,Turbo,E07,5,11/6/2023 12:30,11/13/2023 12:30,203.28,199.67,hemisphere,7.63,6.93,3.13,3.13,NA,NA,NA,NA,NA,Aragonite,,0
4.1.2.4,T4.1,Turbo,E07,8,11/6/2023 12:30,11/13/2023 12:30,131.03,127.52,hemisphere,6.91,6.21,2.67,2.67,NA,NA,NA,NA,NA,Aragonite,,0
4.1.2.5,T4.1,Turbo,E08,6,11/6/2023 12:30,11/13/2023 12:30,650.54,643.93,hemisphere,11.35,10.23,4.4,4.4,NA,NA,NA,NA,NA,Aragonite,,0
4.1.3.1,T4.1,Halimeda,E21,6,11/6/2023 12:30,11/13/2023 12:30,55.4,51.87,rhombus,10,7.49,1,1,9.714,7.429,49.549,49.752,43.619,Aragonite,,0
4.1.3.2,T4.1,Halimeda,E21,4,11/6/2023 12:30,11/13/2023 12:30,49.7,45.16,rhombus,10.76,8.12,0.84,0.84,10.863,8.001,62.488,59.66,46.05,Aragonite,,0
4.1.3.3,T4.1,Halimeda,E21,4,11/6/2023 12:30,11/13/2023 12:30,63.3,57.14,rhombus,11.72,8.72,0.86,0.86,11.518,9.041,64.1,64.504,42.281,Aragonite,,0
4.1.3.4,T4.1,Halimeda,E21,4,11/6/2023 12:30,11/13/2023 12:30,46.37,42.5,rhombus,8.64,7.62,0.8,0.8,8.715,7.573,42.744,42.561,37.111,Aragonite,,0
